Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a1a-ivp-c-018,Error,A1a,I - UDS Initial Visit (new participants),BILLPAY,Conformity,BILLPAY must conform,Q8. BILLPAY (Difficulty with monthly payments?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-020,Error,A1a,I - UDS Initial Visit (new participants),FINUPSET,Conformity,FINUPSET must conform,Q9. FINUPSET (Upset with finances in past month?) must be an integer between 1 and 4 or 8,,
a1a-ivp-c-022,Error,A1a,I - UDS Initial Visit (new participants),EATLESS,Conformity,EATLESS must conform,Q10. EATLESS (Eaten less food because of money?) must be an integer between 0 and 1 or 8,,
a1a-ivp-c-024,Error,A1a,I - UDS Initial Visit (new participants),EATLESSYR,Conformity,EATLESSYR must conform,Q10. EATLESSYR (Eaten less food because of money in past year?) must be an integer between 0 and 1 or 8,,
a1a-ivp-c-026,Error,A1a,I - UDS Initial Visit (new participants),LESSMEDS,Conformity,LESSMEDS must conform,Q12. LESSMEDS (Taken less medication because of money?) must be an integer between 0 and 1 or 8,,
a1a-ivp-c-028,Error,A1a,I - UDS Initial Visit (new participants),LESSMEDSYR,Conformity,LESSMEDSYR must conform,Q12. LESSMEDSYR (Taken less medication because of money in past year?) must be an integer between 0 and 1 or 8,,
a1a-ivp-c-030,Error,A1a,I - UDS Initial Visit (new participants),COMPCOMM,Conformity,COMPCOMM must conform,"Q14. COMPCOMM (How does participant compare to community?) must be an integer between 1 and 10, or 88",,
a1a-ivp-c-036,Error,A1a,I - UDS Initial Visit (new participants),GUARDEDU,Conformity,GUARDEDU must conform,Q15. GUARDEDU (Mother or primary guardian's level of education?) must be an integer between 1 and 6 or 8-9,,
a1a-ivp-c-049,Error,A1a,I - UDS Initial Visit (new participants),EMPTINESS,Conformity,EMPTINESS must conform,Q16. EMPTINESS (Feel emptiness?) must be an integer between 1 and 5 or = 8,,
a1a-ivp-c-051,Error,A1a,I - UDS Initial Visit (new participants),MISSPEOPLE,Conformity,MISSPEOPLE must conform,Q17. MISSPEOPLE (Misses people?) must be an integer between 1 and 5 or = 8,,
a1a-ivp-c-053,Error,A1a,I - UDS Initial Visit (new participants),FRIENDS,Conformity,FRIENDS must conform,Q18. FRIENDS (Doesn't have enough friends?) must be an integer between 1 and 5 or = 8,,
a1a-ivp-c-055,Error,A1a,I - UDS Initial Visit (new participants),ABANDONED,Conformity,ABANDONED must conform,Q19. ABANDONED (Feels abandoned?) must be an integer between 1 and 5 or = 8,,
a1a-ivp-c-057,Error,A1a,I - UDS Initial Visit (new participants),CLOSEFRND,Conformity,CLOSEFRND must conform,Q20. CLOSEFRND (Misses having close friends?) must be an integer between 1 and 5 or = 8,,
a1a-ivp-c-059,Error,A1a,I - UDS Initial Visit (new participants),PARENTCOMM,Conformity,PARENTCOMM must conform,Q21. PARENTCOMM (Frequency of communication with parents?) must be an integer between 0 and 5 or = 8,,
a1a-ivp-c-061,Error,A1a,I - UDS Initial Visit (new participants),CHILDCOMM,Conformity,CHILDCOMM must conform,Q22. CHILDCOMM (Frequency of communication with children?) must be an integer between 0 and 5 or = 8,,
a1a-ivp-c-063,Error,A1a,I - UDS Initial Visit (new participants),FRIENDCOMM,Conformity,FRIENDCOMM must conform,Q23. FRIENDCOMM (Frequency of communication with friends?) must be an integer between 0 and 5 or = 8,,
a1a-ivp-c-065,Error,A1a,I - UDS Initial Visit (new participants),PARTICIPATE,Conformity,PARTICIPATE must conform,Q24. PARTICIPATE (Frequency of participation in activities?) must be an integer between 0 and 5 or = 8,,
a1a-ivp-c-067,Error,A1a,I - UDS Initial Visit (new participants),SAFEHOME,Conformity,SAFEHOME must conform,Q25a. SAFEHOME (How safe you feel at home?) must be an integer between 1-4 or = 8,,
a1a-ivp-c-069,Error,A1a,I - UDS Initial Visit (new participants),SAFECOMM,Conformity,SAFECOMM must conform,Q25b. SAFECOMM (How safe you feel in community?) must be an integer between 1-4 or = 8,,
